Sample_ID	lib_type	seq_reads_pairs	seq_retained_reads	seq_retained_nts	seq_retained_length	hits_raw	hits_raw_frac	hits_clonality	hits_unique	hits_unique_frac	hits_coverage	hits_length
PDOM2022NLD0080F	PE	47338499	72568086	12420826519	171.1610048389591	56483439	0.7783509544402205	0.3002330647749688	39525243	0.5446642619181109	6.1731961717844595	162.85591089218605
PDOM2022NLD0081F	PE	40209567	57246801	10116980839	176.72569754596418	46874181	0.8188087400726549	0.26795090030479685	34314202	0.5994082009927507	5.585274717615346	169.72219199502294
PDOM2022NLD0082F	PE	51415617	78974221	13565762431	171.7745646519261	64480133	0.8164706429962759	0.2800398069898522	46423129	0.5878263617187183	7.312863244262256	164.25592301199688
PDOM2022NLD0083F	PE	38235591	54657357	9656313219	176.6699626365029	45010097	0.8234956732357183	0.2728452684738716	32729305	0.5988087751846471	5.318474935852501	169.44093142216127
PDOM2022NLD0084F	PE	40635498	62361248	10674825167	171.17722158158222	50076100	0.8030002863316654	0.28591122311841377	35758781	0.5734134923021426	5.611777585469117	163.63859464336886
PDOM2022NLD0107J	PE	50183929	76661059	13158634870	171.64692272252591	61045699	0.7963064924527067	0.2808621455870298	43900273	0.5726541424375575	6.886822728597918	163.5760360077943
PDOM2022NLD0108J	PE	45508369	71531511	12177040581	170.23323582525748	60480307	0.8455057939430358	0.2739104482389615	43914119	0.6139129229354598	6.8781517153783795	163.31857168761601
PI22NLD0001M	PE	36832885	61725165	10354605114	167.7533808779612	51138614	0.8284888991386252	0.31993035634481604	34777819	0.5634301504094805	5.346924629921729	160.31335975956398
TreeSparrow_01	PE	63300936	118458418	12077113789	101.95234743891312	102648770	0.8665384168814411	0.018877313386219785	100711037	0.8501804996247713	9.548709163780744	98.86341188205618
TreeSparrow_02	PE	73316693	141353181	13884975192	98.22895455037549	125190238	0.8856556118110989	0.011085169436294229	123802483	0.875837969291968	11.362133862801034	95.69704841057187
TreeSparrow_03	PE	70486607	122597921	13106092953	106.90306039529007	107092902	0.8735295111570448	0.0178966576141526	105176297	0.8578962525800091	10.50772423092476	104.17386720698106
TreeSparrow_04	PE	66646695	123041207	12575543557	102.20595086490007	107845156	0.876496245684586	0.01700887706073695	106010831	0.8615880287975394	10.09802264279009	99.32397633030534
TreeSparrow_05	PE	58274574	109324169	11132931496	101.83412870030597	95457579	0.8731608012497218	0.01894813401877704	93648836	0.8566160333676993	8.882753459628969	98.90385537733752
TreeSparrow_06	PE	56867520	106667892	10870605008	101.91075125024501	93534764	0.8768783393600766	0.015412301676411944	92093178	0.863363625860348	8.740894221029004	98.96836622360888
TreeSparrow_07	PE	72823450	133855751	13637203671	101.87984878587697	115481666	0.8627321959442744	0.023516780577100382	112765909	0.8424435121954529	10.672063746297363	98.68214525721599
TreeSparrow_08	PE	68550072	126282750	12869838963	101.91288171187276	107927730	0.8546514072587111	0.025281176579920683	105199190	0.833044814117526	9.94563675216488	98.57985927458186
TreeSparrow_09	PE	69495368	128101844	13071967054	102.04355102023355	109839253	0.8574369390030014	0.023696501286293303	107236447	0.8371186834750013	10.160178434665644	98.79316870690428
TreeSparrow_10	PE	70546598	129367387	13258509181	102.48726119048845	111934628	0.8652461071970171	0.022265335084688864	109442366	0.8459811126895529	10.42522129916893	99.32711142228047
