Sample	sum_pct_a	sum_pct_c	sum_pct_g	sum_pct_t	sum_pct_n	cycle_count	mean_pct_a	mean_pct_c	mean_pct_g	mean_pct_t
Crotone514_R2	2894.01411	2097.837797	2100.2230860000013	2897.0233379999995	10.90167	100	28.9401411	20.97837797	21.00223086000001	28.970233379999996
Crotone517_R1	5548.486231000003	3895.0303209999975	3897.188698	5551.552241000004	7.742510999999997	189	29.357070005291018	20.608626037037023	20.620046021164022	29.3732922804233
Crotone517_R2	2938.9745909999992	2058.238575	2060.4479029999993	2941.604739	0.7341840000000001	100	29.38974590999999	20.58238575	20.604479029999993	29.41604739
Crotone518_R1	5464.717867999999	3970.614043999998	3972.8782200000014	5470.0125069999995	21.777370000000005	189	28.913851153439147	21.008539915343906	21.02051968253969	28.941865116402113
Crotone518_R2	2903.5769239999986	2093.2934490000002	2095.3732160000004	2906.3511299999986	1.4052749999999998	100	29.035769239999986	20.93293449	20.953732160000005	29.063511299999988
FR041_R1	8452.522255999993	6084.926410000002	6093.406743	8467.108221000006	2.0363610000000003	291	29.04646823367695	20.91040003436427	20.939542072164947	29.096591824742287
FR041_R2	4296.315300000001	3247.041764999999	3255.424383	4300.656286999999	0.5622780000000005	151	28.45241920529802	21.503587847682113	21.559101874172185	28.481167463576153
FR044_R1	8443.978877999996	6094.161698999998	6101.988572000007	8458.730036	1.1408229999999997	291	29.01710954639174	20.942136422680406	20.969032893470814	29.067800810996566
FR044_R2	4298.003302	3245.946704999999	3253.0734380000004	4302.423849999999	0.5527080000000002	151	28.463598026490068	21.49633579470198	21.543532701986756	28.49287317880794
FR046_R1	8390.104875000005	6154.142706	6158.677758999992	8396.543565999998	0.5310959999999998	291	28.831975515463935	21.148256721649485	21.163841096219905	28.854101601374566
FR046_R2	4253.831392000003	3292.2744860000007	3301.3163070000014	4252.266221999998	0.3116070000000001	151	28.171068821192073	21.803142291390735	21.86302190066226	28.16070345695363
FR048_R1	8446.859202999998	6090.529680000004	6099.249035999999	8462.244753999996	1.117317	291	29.027007570446727	20.929655257731973	20.95961868041237	29.079878879725072
FR048_R2	4291.045199000002	3252.325873000001	3260.6964679999987	4295.381514	0.550941	151	28.417517874172198	21.538581940397357	21.594016344370853	28.446235192052978
FR049_R1	8357.932361000005	6190.990222999996	6191.315486000009	8359.228849000006	0.5330770000000005	291	28.72141704810998	21.274880491408922	21.275998233677004	28.725872333333356
FR049_R2	4231.793060000001	3317.9547310000003	3325.664140999998	4224.272267999998	0.315811	151	28.025119602649013	21.97321013907285	22.024265834437074	27.97531303311257
FR050_R1	8444.800187999996	6093.274427999995	6100.575688999997	8459.337219000001	2.0124660000000003	291	29.019931917525756	20.939087381443283	20.964177625429542	29.06988735051547
FR050_R2	4281.904403000001	3261.512674	3270.510295000001	4285.521439999999	0.5511809999999998	151	28.356982801324513	21.599421682119207	21.659008576158946	28.380936688741713
FR051_R1	8403.232344	6138.3058990000045	6143.725526000002	8412.913994999999	1.822233	291	28.877087092783505	21.09383470446737	21.112458852233683	28.910357371134015
FR051_R2	4270.999374000001	3274.105769000001	3282.702226000001	4271.693718000001	0.49891200000000036	151	28.284764066225172	21.682819662251664	21.73974984105961	28.289362370860935
FR061_R1	8466.168267	6071.188662000001	6080.595052	8480.298444000005	1.7495680000000007	291	29.093361742268037	20.86319127835052	20.895515642611684	29.14191905154641
FR061_R2	4307.651483999999	3235.826132000001	3244.3765069999986	4311.654656999999	0.4912139999999997	151	28.527493271523173	21.429312132450338	21.48593713245032	28.55400435099337
FR063_R1	8454.172738	6085.660369999997	6093.327988000004	8466.310105999994	0.5288069999999999	291	29.052139993127145	20.912922233676966	20.93927143642613	29.093849161512004
FR063_R2	4290.882757999998	3253.463828000002	3261.8948799999994	4293.442924999999	0.3155980000000002	151	28.41644210596025	21.54611806622518	21.601952847682114	28.433396854304632
FR064_R1	8463.699245	6075.253268999997	6082.458013000004	8476.770444	1.8190140000000001	291	29.084877130584193	20.87715899999999	20.90191757044675	29.129795340206186
FR064_R2	4310.581584999999	3233.736194	3241.608238999999	4313.557436000001	0.5165460000000002	151	28.546897913907276	21.41547148344371	21.467604231788073	28.566605536423847
Guglionesi_336_R1	5568.902759	3872.385356	3872.2360080000008	5570.661041	15.814817000000005	189	29.46509396296296	20.488811407407407	20.48802120634921	29.474397042328043
Guglionesi_336_R2	2968.491019000001	2023.4169669999994	2026.5274060000002	2972.5982489999988	8.966366000000003	100	29.68491019000001	20.234169669999993	20.265274060000003	29.72598248999999
Guglionesi_426_R1	5556.695810000001	3891.868684999998	3892.807513999998	5555.420085999998	3.207909999999999	189	29.40050693121694	20.591897804232794	20.596865153439143	29.39375706878306
Guglionesi_426_R2	2969.412097000001	2025.5644820000002	2028.7563729999995	2973.3485759999985	2.918476000000001	100	29.694120970000007	20.25564482	20.287563729999995	29.733485759999986
Guglionesi_427_R1	5530.733777000002	3921.218309	3913.8403629999984	5531.329375	2.8781810000000005	189	29.26314167724869	20.74718682010582	20.70815006878306	29.26629298941799
Guglionesi_427_R2	2968.346660000002	2026.5781810000008	2029.81017	2972.7060340000007	2.5589489999999984	100	29.68346660000002	20.265781810000007	20.2981017	29.72706034000001
Guglionesi_428_R1	5546.6290590000035	3904.8348550000005	3903.1246629999987	5542.320537999999	3.0908879999999987	189	29.34724369841272	20.66050187830688	20.651453243386236	29.324447291005285
Guglionesi_428_R2	2969.201385	2026.0479510000005	2028.9137389999999	2972.9678299999996	2.869084	100	29.69201385	20.260479510000003	20.289137389999997	29.729678299999996
Guglionesi_429_R1	5503.116638	3944.5948960000023	3948.0136609999986	5503.756534000002	0.518281	189	29.117019248677252	20.87087246560848	20.88896116931216	29.120404941798952
Guglionesi_429_R2	2949.6614720000007	2047.3471029999996	2049.764902	2953.0057569999994	0.22076700000000005	100	29.496614720000007	20.473471029999995	20.497649019999997	29.530057569999993
Guglionesi_431_R1	5556.993455999999	3888.104035	3891.382150000002	5563.058630000004	0.46172899999999995	189	29.402081777777774	20.57197902116402	20.589323544973556	29.434172645502667
Guglionesi_431_R2	2954.6883650000004	2042.1878549999994	2044.3125719999996	2958.5857570000003	0.22545399999999993	100	29.546883650000005	20.421878549999995	20.443125719999998	29.58585757
Guglionesi_432_R1	5507.342291000003	3943.259720000001	3943.573285	5505.313857	0.5108670000000001	189	29.139377201058217	20.863808042328046	20.865467116402115	29.128644746031746
Guglionesi_432_R2	2948.3372869999994	2048.7585159999994	2051.3260289999994	2951.3568589999986	0.22130900000000006	100	29.483372869999993	20.487585159999995	20.513260289999995	29.513568589999988
Guglionesi_433_R1	5545.515377999996	3890.9307000000003	3894.573163000002	5550.4697810000025	18.510986	189	29.341351206349188	20.586934920634924	20.60620721164022	29.367564978835993
Guglionesi_433_R2	2947.5190080000007	2044.6005289999998	2047.0514150000001	2950.791609	10.037422000000001	100	29.475190080000008	20.44600529	20.47051415	29.50791609
Guglionesi_434_R1	5498.220429999997	3937.699571	3942.6503440000015	5502.029748	19.39991999999999	189	29.091113386243368	20.834389264550264	20.860583830687837	29.111268507936508
Guglionesi_434_R2	2937.022638	2052.3075049999998	2055.4358089999996	2940.985921999999	14.248126999999997	100	29.37022638	20.52307505	20.554358089999997	29.40985921999999
Guglionesi_435_R1	5530.752908000001	3914.3071279999995	3914.2854219999986	5527.935345999998	12.719206999999999	189	29.263242899470907	20.710619724867723	20.71050487830687	29.248335164021157
Guglionesi_435_R2	2959.5416269999996	2032.3163619999998	2035.4072029999998	2963.2981759999993	9.436634999999999	100	29.595416269999998	20.32316362	20.354072029999998	29.632981759999993
KAZ14001_R1	5523.89056	3922.1487020000004	3923.7342220000023	5529.095063000001	1.1314410000000008	189	29.22693417989418	20.752109534391536	20.76049852910054	29.254471232804235
KAZ14001_R2	2930.1079540000005	2067.2204140000003	2069.1128940000003	2933.2230340000015	0.3357050000000001	100	29.301079540000003	20.672204140000005	20.691128940000002	29.332230340000013
KAZ14003_R1	5360.643708000003	4088.2023090000007	4086.0981060000013	5364.002747000004	1.0531450000000002	189	28.36319422222224	21.63070004761905	21.619566698412704	28.380966915343937
KAZ14003_R2	2868.708828	2130.7463270000007	2130.330377	2869.894321	0.32014799999999993	100	28.687088279999998	21.307463270000007	21.303303770000003	28.698943210000003
KAZ14032_R1	5458.742273999999	3987.698944999999	3987.7198620000004	5464.4530559999985	1.38587	189	28.88223425396825	21.09893621693121	21.09904688888889	28.912450031746022
KAZ14032_R2	2894.4407529999994	2102.8830639999996	2104.4909780000003	2897.8425950000005	0.342613	100	28.944407529999992	21.028830639999995	21.04490978	28.978425950000005
KAZ14035_R1	5503.387228000002	3943.9442689999996	3944.561624999999	5506.720784000004	1.3860960000000004	189	29.118450941798955	20.867429994708992	20.870696428571424	29.136088804232823
KAZ14035_R2	2918.2657760000016	2079.5145690000004	2081.076716	2920.80726	0.335683	100	29.182657760000016	20.795145690000005	20.81076716	29.2080726
KAZ14053_R1	5541.938757000004	3905.102598999998	3905.6031630000034	5546.071685000003	1.2838030000000002	189	29.32242728571431	20.6619185132275	20.66456700000002	29.344294629629644
KAZ14053_R2	2939.7342220000005	2057.440859	2059.6054480000007	2942.8571260000003	0.36235399999999984	100	29.397342220000006	20.574408589999997	20.596054480000006	29.428571260000002
KAZ14054_R1	5492.984788999997	3952.167350000001	3953.3735189999993	5500.207433	1.2668929999999998	189	29.063411582010566	20.910938359788364	20.917320206349203	29.101626629629628
KAZ14054_R2	2911.1486029999996	2085.494703	2087.892383	2915.110188999999	0.3541260000000003	100	29.111486029999995	20.854947029999998	20.878923829999998	29.151101889999993
KAZ14055_R1	5546.522813	3900.147938999999	3900.645221999999	5551.377789999999	1.3062250000000013	189	29.34668155026455	20.635703380952375	20.638334507936502	29.37236925925925
KAZ14055_R2	2943.071604	2054.018489	2055.968336	2946.585019000001	0.3565540000000001	100	29.430716040000004	20.54018489	20.559683359999998	29.465850190000012
